article,form,material,color,brand,category,temples_length,lens_width,bridge_width,price,seasonality,gender,age_group
886102-2,круглая,титан,синий,Tom Ford,оптика,150,52,16,34928,всесезонная,унисекс,средний
886102-3,кошачий_глаз,пластик,серебряный,Oakley,оптика,135,50,18,5015,всесезонная,унисекс,средний
886102-4,овальная,металл,серебряный,Polaroid,солнцезащитные,130,54,19,5325,летняя,мужской,средний
886104-1,овальная,металл,черный,Polaroid,солнцезащитные,150,54,17,20650,летняя,женский,пожилой
886104-4,квадратная,металл,серебряный,Polaroid,солнцезащитные,145,48,15,13256,летняя,унисекс,молодой
886106-1,круглая,металл,золотой,Lacoste,оптика,135,52,19,7504,всесезонная,женский,средний
886106-2,квадратная,титан,серый,Ray-Ban,солнцезащитные,130,54,19,24167,летняя,унисекс,молодой
886106-3,прямоугольная,металл,черный,Oakley,солнцезащитные,130,50,17,10392,летняя,унисекс,пожилой
886106-4,кошачий_глаз,пластик,золотой,Tom Ford,оптика,140,52,16,8024,всесезонная,мужской,средний
886107-1,кошачий_глаз,комбинированный,белый,Valentino,солнцезащитные,150,50,15,49462,летняя,женский,молодой
886107-2,овальная,металл,черный,Polaroid,солнцезащитные,135,46,16,17786,летняя,женский,пожилой
886107-3,квадратная,титан,черный,Oakley,солнцезащитные,140,50,19,10824,летняя,унисекс,молодой
886107-4,кошачий_глаз,металл,золотой,Tom Ford,оптика,130,50,15,44488,всесезонная,унисекс,пожилой
886108-1,кошачий_глаз,комбинированный,серый,Prada,солнцезащитные,150,46,20,33138,летняя,женский,молодой
886108-2,овальная,титан,серебряный,Gucci,солнцезащитные,150,52,14,32944,летняя,мужской,пожилой
886108-3,прямоугольная,титан,серый,Valentino,солнцезащитные,130,48,14,11720,летняя,мужской,молодой
886108-4,кошачий_глаз,пластик,серый,Lacoste,оптика,140,52,15,3233,всесезонная,мужской,средний
886109-1,квадратная,титан,белый,Valentino,солнцезащитные,135,50,20,14962,летняя,женский,средний
886109-2,прямоугольная,пластик,золотой,Oakley,солнцезащитные,135,54,20,14790,летняя,унисекс,пожилой
886109-3,круглая,пластик,серый,Ray-Ban,оптика,135,46,19,24118,всесезонная,женский,пожилой
886109-4,круглая,комбинированный,серый,Prada,оптика,130,52,19,36178,всесезонная,мужской,молодой
8862003-1,круглая,комбинированный,золотой,Lacoste,оптика,150,54,14,11825,всесезонная,мужской,молодой
8862003-2,прямоугольная,титан,серый,Valentino,солнцезащитные,150,54,15,28764,летняя,унисекс,пожилой
8862003-3,круглая,комбинированный,белый,Gucci,солнцезащитные,145,52,19,18920,летняя,женский,пожилой
887-2,квадратная,титан,коричневый,Gucci,оптика,135,50,15,43596,всесезонная,мужской,средний
887-3,прямоугольная,пластик,серый,Gucci,солнцезащитные,150,48,15,26854,летняя,унисекс,молодой
887-4,квадратная,пластик,синий,Prada,солнцезащитные,135,46,15,37952,летняя,мужской,молодой
8874-4,круглая,комбинированный,черный,Ray-Ban,оптика,145,52,17,16806,всесезонная,унисекс,пожилой
888106-1,прямоугольная,титан,золотой,Polaroid,солнцезащитные,140,50,14,11585,летняя,мужской,молодой
888106-2,круглая,комбинированный,белый,Oakley,оптика,130,48,16,5864,всесезонная,женский,средний
888106-4,круглая,пластик,коричневый,Lacoste,оптика,140,46,15,9339,всесезонная,женский,молодой
888107-1,овальная,титан,черный,Lacoste,оптика,140,46,14,15350,всесезонная,унисекс,молодой
888109-1,круглая,комбинированный,серебряный,Tom Ford,оптика,140,54,16,16088,всесезонная,мужской,средний
888109-2,прямоугольная,титан,серый,Lacoste,оптика,150,48,15,10833,всесезонная,женский,молодой
888109-3,прямоугольная,металл,черный,Prada,оптика,130,46,15,27382,всесезонная,унисекс,молодой
8885-5,кошачий_глаз,металл,черный,Gucci,солнцезащитные,150,52,16,40804,летняя,мужской,средний
889-1,прямоугольная,титан,черный,Prada,оптика,145,48,18,24570,всесезонная,унисекс,молодой
889-2,кошачий_глаз,пластик,серебряный,Polaroid,оптика,140,54,17,3322,всесезонная,женский,средний
889-4,круглая,металл,черный,Ray-Ban,солнцезащитные,130,46,18,13233,летняя,мужской,средний
891-2,овальная,титан,белый,Gucci,оптика,135,52,20,17460,всесезонная,женский,молодой
891-3,круглая,пластик,синий,Oakley,солнцезащитные,130,50,17,8409,летняя,женский,молодой
891-4,кошачий_глаз,пластик,серебряный,Valentino,оптика,145,50,14,23892,всесезонная,женский,средний
8926-9,квадратная,титан,серебряный,Prada,солнцезащитные,130,50,19,40488,летняя,женский,молодой
8941-6,круглая,титан,серый,Oakley,солнцезащитные,140,48,18,22205,летняя,унисекс,средний
8953-1,овальная,титан,черный,Valentino,оптика,150,46,17,11144,всесезонная,унисекс,молодой
8958-9,овальная,пластик,черный,Valentino,оптика,140,50,15,9828,всесезонная,женский,средний
8979-6,круглая,металл,серый,Ray-Ban,солнцезащитные,130,52,15,19616,летняя,женский,пожилой
8979-7,кошачий_глаз,металл,серый,Lacoste,оптика,140,50,19,14391,всесезонная,мужской,средний
8981-6,овальная,металл,синий,Ray-Ban,оптика,145,46,18,9703,всесезонная,женский,средний
8981-8,кошачий_глаз,пластик,черный,Valentino,солнцезащитные,145,48,20,35570,летняя,женский,средний
8985-8,прямоугольная,металл,белый,Tom Ford,оптика,140,50,20,40932,всесезонная,женский,молодой
8988-4,квадратная,металл,серый,Valentino,солнцезащитные,145,46,15,43352,летняя,унисекс,молодой
8989-4,кошачий_глаз,титан,золотой,Valentino,солнцезащитные,145,48,17,46518,летняя,унисекс,пожилой
90012C-VN09,круглая,пластик,золотой,Oakley,солнцезащитные,130,52,14,19898,летняя,унисекс,пожилой
90013C-GB12,круглая,пластик,синий,Polaroid,оптика,150,48,20,23806,всесезонная,женский,молодой
9007-4,круглая,комбинированный,золотой,Tom Ford,оптика,130,52,19,24242,всесезонная,унисекс,средний
9009-черно-розовая,круглая,титан,белый,Tom Ford,оптика,140,54,15,6298,всесезонная,мужской,пожилой
901-C5,прямоугольная,металл,белый,Ray-Ban,солнцезащитные,130,50,19,14010,летняя,женский,пожилой
9011-4,круглая,пластик,серебряный,Lacoste,оптика,130,48,20,7181,всесезонная,женский,молодой
9011-6,круглая,металл,серый,Prada,оптика,135,46,19,22548,всесезонная,женский,пожилой
9011-9,кошачий_глаз,металл,серебряный,Gucci,солнцезащитные,150,48,17,30336,летняя,мужской,молодой
9012-7,овальная,металл,золотой,Oakley,солнцезащитные,140,54,20,8566,летняя,женский,молодой
9012-8,круглая,комбинированный,синий,Lacoste,солнцезащитные,145,52,17,8545,летняя,унисекс,молодой
9013-01,овальная,пластик,белый,Oakley,солнцезащитные,140,52,19,11221,летняя,унисекс,средний
9013-7,круглая,комбинированный,синий,Prada,солнцезащитные,130,48,15,6222,летняя,женский,пожилой
9014-6,квадратная,титан,синий,Ray-Ban,оптика,135,48,20,23583,всесезонная,унисекс,средний
9015-03,прямоугольная,металл,черный,Tom Ford,оптика,150,46,17,44654,всесезонная,унисекс,молодой
9018-03,прямоугольная,комбинированный,синий,Valentino,оптика,135,50,14,26540,всесезонная,мужской,средний
9023-01,прямоугольная,металл,коричневый,Oakley,солнцезащитные,150,48,17,6474,летняя,унисекс,пожилой
9023-02,прямоугольная,титан,серебряный,Lacoste,солнцезащитные,130,48,18,3531,летняя,женский,средний
9029-3,кошачий_глаз,комбинированный,белый,Ray-Ban,солнцезащитные,130,52,15,24654,летняя,унисекс,средний
903-BLUE,овальная,комбинированный,серый,Valentino,оптика,150,50,20,10058,всесезонная,женский,пожилой
903-GOLD,круглая,титан,серый,Ray-Ban,солнцезащитные,130,48,18,8919,летняя,мужской,средний
903-GUN,круглая,пластик,коричневый,Ray-Ban,солнцезащитные,145,50,18,18775,летняя,мужской,средний
9032-4,прямоугольная,комбинированный,белый,Oakley,солнцезащитные,135,52,18,11545,летняя,женский,пожилой
9033-4,круглая,пластик,серый,Polaroid,оптика,150,54,18,19659,всесезонная,мужской,средний
9035-4,круглая,металл,белый,Ray-Ban,солнцезащитные,150,48,19,11679,летняя,женский,средний
9038-1,прямоугольная,металл,серый,Polaroid,оптика,145,50,20,17746,всесезонная,мужской,средний
9038-4,прямоугольная,титан,синий,Ray-Ban,солнцезащитные,145,54,20,23941,летняя,мужской,молодой
90384-F020,квадратная,пластик,черный,Valentino,солнцезащитные,140,46,16,28280,летняя,женский,пожилой
9042-3,овальная,пластик,синий,Prada,оптика,145,52,15,42110,всесезонная,унисекс,молодой
9042-6,прямоугольная,пластик,черный,Valentino,оптика,135,50,14,11648,всесезонная,женский,молодой
9048-6,квадратная,комбинированный,золотой,Prada,солнцезащитные,145,48,18,33686,летняя,женский,средний
9049-4,прямоугольная,пластик,золотой,Oakley,солнцезащитные,140,54,17,10711,летняя,унисекс,пожилой
9049-8,овальная,комбинированный,белый,Polaroid,солнцезащитные,130,46,14,12551,летняя,унисекс,средний
9049-9,кошачий_глаз,пластик,коричневый,Ray-Ban,оптика,130,50,15,18190,всесезонная,унисекс,пожилой
905-3,прямоугольная,комбинированный,серебряный,Oakley,солнцезащитные,140,48,20,17854,летняя,мужской,молодой
905-C1,овальная,пластик,золотой,Tom Ford,оптика,140,48,17,10868,всесезонная,женский,пожилой
905-C3,круглая,металл,белый,Valentino,оптика,150,50,18,21548,всесезонная,мужской,средний
9061-1,кошачий_глаз,комбинированный,черный,Ray-Ban,оптика,130,48,17,13296,всесезонная,мужской,средний
9064-6,круглая,металл,белый,Oakley,оптика,150,50,16,8331,всесезонная,мужской,средний
9069-6,кошачий_глаз,пластик,синий,Prada,солнцезащитные,145,54,15,40046,летняя,унисекс,пожилой
9081-02,круглая,титан,серебряный,Gucci,солнцезащитные,150,54,20,25810,летняя,женский,пожилой
9083-4,овальная,комбинированный,серебряный,Gucci,солнцезащитные,135,54,17,16988,летняя,мужской,молодой
9083-6,круглая,комбинированный,серебряный,Ray-Ban,оптика,130,48,18,4132,всесезонная,унисекс,пожилой
9120-6,овальная,титан,серый,Oakley,солнцезащитные,150,52,15,3393,летняя,мужской,средний
9125-001,кошачий_глаз,металл,серебряный,Oakley,солнцезащитные,130,46,19,5571,летняя,мужской,средний
9138-3,квадратная,титан,синий,Prada,оптика,130,52,20,44738,всесезонная,женский,пожилой
914-15,кошачий_глаз,комбинированный,черный,Tom Ford,солнцезащитные,140,48,17,10430,летняя,мужской,молодой
914-16,кошачий_глаз,комбинированный,серебряный,Oakley,солнцезащитные,145,46,17,9462,летняя,женский,пожилой
9144-001,прямоугольная,пластик,синий,Ray-Ban,оптика,150,52,17,6668,всесезонная,унисекс,пожилой
9145-6,квадратная,металл,серебряный,Prada,оптика,145,48,19,31848,всесезонная,женский,пожилой
9154-219,круглая,титан,черный,Tom Ford,солнцезащитные,135,46,15,10232,летняя,мужской,пожилой
9164-4,квадратная,комбинированный,белый,Prada,солнцезащитные,150,46,18,38626,летняя,женский,молодой
9167-6,круглая,титан,черный,Ray-Ban,солнцезащитные,130,50,18,19586,летняя,женский,молодой
9168-3,кошачий_глаз,металл,белый,Ray-Ban,солнцезащитные,145,52,20,5525,летняя,женский,молодой
9169-6,квадратная,металл,золотой,Prada,солнцезащитные,145,52,19,13142,летняя,женский,средний
9169-8,кошачий_глаз,комбинированный,черный,Tom Ford,оптика,130,50,16,43128,всесезонная,женский,пожилой
9177-4,круглая,металл,коричневый,Lacoste,оптика,130,48,17,16582,всесезонная,унисекс,пожилой
9186-6,квадратная,металл,серый,Lacoste,солнцезащитные,150,54,17,24814,летняя,унисекс,пожилой
9187-4,кошачий_глаз,пластик,синий,Valentino,солнцезащитные,145,50,17,49112,летняя,мужской,средний
9191-6,кошачий_глаз,пластик,белый,Tom Ford,оптика,140,52,17,30788,всесезонная,женский,пожилой
9194-6,прямоугольная,пластик,золотой,Valentino,солнцезащитные,135,50,14,38506,летняя,мужской,средний
92003-5,овальная,пластик,белый,Ray-Ban,солнцезащитные,135,48,15,17195,летняя,унисекс,средний
9204-072,круглая,комбинированный,коричневый,Ray-Ban,солнцезащитные,140,54,17,9185,летняя,унисекс,средний
921007-1,прямоугольная,комбинированный,серебряный,Oakley,оптика,140,54,14,16718,всесезонная,унисекс,пожилой
921009-2,кошачий_глаз,металл,синий,Ray-Ban,солнцезащитные,135,52,19,16913,летняя,унисекс,пожилой
921009-3,квадратная,комбинированный,золотой,Polaroid,солнцезащитные,135,52,16,19225,летняя,женский,пожилой
921012-1,прямоугольная,металл,синий,Polaroid,солнцезащитные,140,52,19,18301,летняя,унисекс,молодой
921012-2,овальная,комбинированный,белый,Lacoste,оптика,135,52,16,10967,всесезонная,мужской,пожилой
921012-3,овальная,комбинированный,черный,Prada,оптика,145,48,18,11000,всесезонная,унисекс,молодой
921025-1,круглая,комбинированный,золотой,Oakley,оптика,135,46,19,14805,всесезонная,унисекс,молодой
921025-4,кошачий_глаз,комбинированный,золотой,Ray-Ban,оптика,130,48,19,10628,всесезонная,мужской,средний
921026-2,прямоугольная,титан,серебряный,Ray-Ban,оптика,150,46,17,12435,всесезонная,мужской,пожилой
921030-1,кошачий_глаз,титан,коричневый,Tom Ford,оптика,130,50,18,30946,всесезонная,унисекс,пожилой
921030-2,прямоугольная,титан,синий,Valentino,солнцезащитные,140,50,18,22900,летняя,унисекс,пожилой
921033-1,овальная,металл,черный,Polaroid,оптика,135,46,14,3479,всесезонная,женский,молодой
921034-1,кошачий_глаз,титан,серый,Lacoste,солнцезащитные,150,46,16,18394,летняя,женский,средний
92133-3,овальная,комбинированный,серебряный,Oakley,солнцезащитные,150,48,18,10558,летняя,женский,молодой
92133-4,прямоугольная,титан,черный,Valentino,солнцезащитные,145,54,15,25838,летняя,мужской,молодой
92147-2,кошачий_глаз,комбинированный,серый,Polaroid,солнцезащитные,135,46,17,7677,летняя,женский,пожилой
9215-608,квадратная,металл,синий,Prada,солнцезащитные,145,48,20,18078,летняя,женский,молодой
9216602-1,прямоугольная,комбинированный,коричневый,Polaroid,солнцезащитные,130,50,16,10038,летняя,женский,пожилой
9216602-13,прямоугольная,титан,белый,Valentino,оптика,135,50,19,19084,всесезонная,мужской,молодой
9216604-1,кошачий_глаз,титан,серебряный,Oakley,оптика,140,50,18,10337,всесезонная,унисекс,пожилой
9216604-12,квадратная,пластик,коричневый,Gucci,оптика,135,50,16,48374,всесезонная,женский,пожилой
9216614-8,квадратная,титан,золотой,Lacoste,оптика,135,52,14,3485,всесезонная,мужской,пожилой
9217-608,овальная,комбинированный,серебряный,Tom Ford,солнцезащитные,130,54,20,18632,летняя,мужской,пожилой
9220-903,прямоугольная,титан,серебряный,Valentino,оптика,140,54,16,42678,всесезонная,женский,молодой
9228-001,овальная,пластик,коричневый,Ray-Ban,оптика,145,50,15,16991,всесезонная,мужской,средний
9228-020,квадратная,титан,золотой,Oakley,солнцезащитные,145,48,18,22689,летняя,унисекс,пожилой
9231-092,круглая,комбинированный,синий,Lacoste,солнцезащитные,145,52,15,17470,летняя,мужской,молодой
9232-092,квадратная,комбинированный,черный,Prada,солнцезащитные,140,54,15,33786,летняя,унисекс,средний
9233-077,прямоугольная,металл,синий,Valentino,солнцезащитные,140,48,20,35828,летняя,женский,пожилой
9234-089,круглая,титан,белый,Valentino,оптика,150,54,16,27256,всесезонная,женский,средний
9235-077,круглая,комбинированный,синий,Tom Ford,оптика,135,50,17,45720,всесезонная,унисекс,средний
9239-678,прямоугольная,металл,золотой,Prada,солнцезащитные,135,46,14,45590,летняя,женский,средний
9241-109,овальная,металл,синий,Prada,солнцезащитные,145,48,15,18238,летняя,унисекс,молодой
9241-130,овальная,комбинированный,серый,Polaroid,оптика,140,50,14,7158,всесезонная,мужской,молодой
92431-1,круглая,пластик,серый,Oakley,оптика,140,50,19,22945,всесезонная,унисекс,средний
92433-1,квадратная,комбинированный,золотой,Polaroid,оптика,145,52,18,23835,всесезонная,унисекс,средний
92433-2,кошачий_глаз,металл,синий,Prada,оптика,140,52,19,39006,всесезонная,женский,средний
92435-4,прямоугольная,металл,серебряный,Valentino,солнцезащитные,145,54,19,42654,летняя,мужской,пожилой
92437-1,овальная,пластик,белый,Gucci,солнцезащитные,130,54,15,17012,летняя,женский,средний
92439-1,кошачий_глаз,комбинированный,золотой,Ray-Ban,солнцезащитные,140,54,15,3150,летняя,унисекс,средний
92440-2,круглая,металл,золотой,Valentino,оптика,150,50,16,28280,всесезонная,мужской,пожилой
92440-6,овальная,комбинированный,белый,Gucci,оптика,140,52,17,30412,всесезонная,унисекс,молодой
9250-589,прямоугольная,титан,золотой,Prada,солнцезащитные,130,48,14,25710,летняя,женский,средний
9260-001,прямоугольная,пластик,серый,Prada,оптика,130,52,16,25274,всесезонная,мужской,средний
9289-03,прямоугольная,пластик,черный,Prada,оптика,135,46,20,16574,всесезонная,унисекс,молодой
93108-1,квадратная,титан,черный,Tom Ford,солнцезащитные,150,46,19,20066,летняя,унисекс,средний
93124-1-1,квадратная,металл,серебряный,Valentino,оптика,130,48,19,18456,всесезонная,унисекс,средний
93124-1-4,круглая,комбинированный,черный,Prada,оптика,135,54,15,6380,всесезонная,унисекс,пожилой
93151-2,кошачий_глаз,металл,синий,Lacoste,солнцезащитные,135,54,16,13467,летняя,унисекс,молодой
93176-2,круглая,металл,коричневый,Lacoste,солнцезащитные,145,52,18,21125,летняя,унисекс,средний
93176-3,кошачий_глаз,комбинированный,белый,Polaroid,солнцезащитные,145,52,14,16480,летняя,унисекс,молодой
93177-2,круглая,пластик,коричневый,Ray-Ban,оптика,140,50,17,5798,всесезонная,унисекс,пожилой
93177-3,круглая,пластик,белый,Oakley,солнцезащитные,145,52,19,11428,летняя,унисекс,молодой
93178-1,круглая,пластик,коричневый,Prada,оптика,150,50,15,23412,всесезонная,мужской,пожилой
93178-2,квадратная,пластик,серебряный,Ray-Ban,солнцезащитные,130,46,19,15534,летняя,женский,пожилой
93178-3,кошачий_глаз,пластик,синий,Oakley,оптика,145,46,17,16065,всесезонная,унисекс,молодой
93180-2,овальная,металл,серый,Lacoste,оптика,130,52,20,24079,всесезонная,женский,пожилой
93187-2,прямоугольная,комбинированный,коричневый,Prada,солнцезащитные,145,50,14,46788,летняя,унисекс,молодой
93187-3,овальная,металл,белый,Prada,оптика,130,46,15,29320,всесезонная,мужской,пожилой
93188-2,овальная,металл,черный,Gucci,солнцезащитные,135,50,14,27500,летняя,мужской,пожилой
93190-2,круглая,титан,черный,Tom Ford,оптика,140,46,14,40546,всесезонная,мужской,пожилой
93190-3,кошачий_глаз,металл,серебряный,Oakley,солнцезащитные,135,52,20,20509,летняя,мужской,молодой
93201-1-1,кошачий_глаз,комбинированный,серый,Ray-Ban,солнцезащитные,150,46,17,23645,летняя,мужской,средний
93234-1,овальная,металл,белый,Lacoste,оптика,150,46,16,11628,всесезонная,мужской,молодой
93234-2-1,круглая,пластик,серый,Polaroid,оптика,150,52,14,11806,всесезонная,мужской,молодой
93255-1,круглая,пластик,белый,Lacoste,оптика,145,50,18,9874,всесезонная,мужской,молодой
93256-5,кошачий_глаз,металл,черный,Ray-Ban,оптика,150,54,15,21325,всесезонная,женский,средний
93258-1,круглая,титан,черный,Lacoste,оптика,140,50,20,22801,всесезонная,женский,средний
93258-4,квадратная,металл,синий,Lacoste,оптика,145,50,17,4703,всесезонная,женский,молодой
93258-5,овальная,пластик,серебряный,Tom Ford,солнцезащитные,130,48,16,27442,летняя,женский,молодой
93258-6,квадратная,комбинированный,коричневый,Oakley,оптика,135,54,17,6548,всесезонная,унисекс,молодой
93259-1,прямоугольная,титан,белый,Gucci,оптика,130,52,17,43024,всесезонная,женский,молодой
93259-2,круглая,комбинированный,коричневый,Oakley,солнцезащитные,130,48,18,16419,летняя,унисекс,пожилой
93260-2-3,прямоугольная,пластик,синий,Ray-Ban,солнцезащитные,130,52,20,7216,летняя,женский,средний
93261P-3A,овальная,комбинированный,серебряный,Ray-Ban,солнцезащитные,145,46,19,3479,летняя,женский,пожилой
93261P-4B,кошачий_глаз,металл,золотой,Valentino,солнцезащитные,135,50,17,49310,летняя,женский,средний
93272-1,квадратная,титан,золотой,Gucci,солнцезащитные,150,46,17,28896,летняя,унисекс,молодой
93272-2,круглая,титан,серый,Valentino,солнцезащитные,150,52,15,30502,летняя,мужской,средний
93273-1,квадратная,пластик,коричневый,Tom Ford,оптика,150,46,19,43022,всесезонная,унисекс,пожилой
93274-1,прямоугольная,металл,золотой,Valentino,оптика,130,46,19,11126,всесезонная,унисекс,молодой
93274-3,прямоугольная,комбинированный,коричневый,Lacoste,солнцезащитные,135,50,14,4881,летняя,мужской,средний
93275-2,круглая,металл,черный,Prada,оптика,145,50,19,29844,всесезонная,мужской,средний
93275-3,круглая,пластик,серебряный,Prada,солнцезащитные,140,50,17,25118,летняя,мужской,средний
93276-1,прямоугольная,пластик,черный,Tom Ford,оптика,145,52,19,40996,всесезонная,унисекс,пожилой
93277-1,круглая,пластик,белый,Oakley,солнцезащитные,145,48,20,16629,летняя,унисекс,пожилой
93277-2,прямоугольная,пластик,белый,Gucci,оптика,135,50,20,16126,всесезонная,мужской,пожилой
93278-1,кошачий_глаз,пластик,серебряный,Oakley,оптика,130,52,20,21044,всесезонная,женский,пожилой
93278-2,круглая,титан,коричневый,Oakley,оптика,140,46,18,19641,всесезонная,мужской,пожилой
93280-1,круглая,металл,белый,Oakley,оптика,130,48,14,24608,всесезонная,женский,молодой
93281-1,квадратная,комбинированный,серебряный,Gucci,солнцезащитные,150,54,19,35222,летняя,унисекс,пожилой
93281-4,прямоугольная,титан,синий,Gucci,солнцезащитные,150,48,19,38154,летняя,женский,средний
93283-1,прямоугольная,металл,коричневый,Gucci,солнцезащитные,145,46,18,31014,летняя,унисекс,пожилой
93283-2,круглая,титан,черный,Oakley,оптика,150,50,18,6341,всесезонная,мужской,молодой
93284-1,квадратная,комбинированный,серебряный,Ray-Ban,солнцезащитные,140,52,20,9413,летняя,мужской,молодой
93284-2,квадратная,металл,черный,Valentino,оптика,135,50,17,30298,всесезонная,унисекс,молодой
93284-3,круглая,комбинированный,золотой,Oakley,солнцезащитные,150,50,19,8158,летняя,женский,средний
93310-1,кошачий_глаз,титан,серебряный,Lacoste,оптика,145,50,17,17747,всесезонная,унисекс,молодой
93310-2,кошачий_глаз,металл,золотой,Valentino,оптика,140,52,15,43552,всесезонная,женский,пожилой
93310-3,круглая,комбинированный,синий,Prada,солнцезащитные,150,50,16,12266,летняя,унисекс,пожилой
93314-1,овальная,комбинированный,золотой,Prada,оптика,145,54,19,43122,всесезонная,мужской,молодой
93314-4,круглая,металл,золотой,Prada,оптика,135,48,20,36446,всесезонная,унисекс,пожилой
93315-3,круглая,металл,синий,Oakley,солнцезащитные,140,48,15,24990,летняя,женский,молодой
93315-4,кошачий_глаз,титан,золотой,Prada,солнцезащитные,140,52,16,34736,летняя,женский,средний
93318-2,овальная,титан,серый,Polaroid,солнцезащитные,135,50,18,18706,летняя,мужской,средний
93318-3,овальная,пластик,белый,Tom Ford,оптика,130,54,14,37138,всесезонная,женский,пожилой
93505-1,квадратная,пластик,серый,Tom Ford,оптика,150,46,18,39876,всесезонная,унисекс,средний
93505-2,квадратная,титан,синий,Polaroid,оптика,140,54,14,10852,всесезонная,женский,пожилой
93505-4,круглая,пластик,белый,Lacoste,оптика,150,46,14,8536,всесезонная,женский,молодой
93506-1,прямоугольная,металл,серый,Oakley,оптика,140,50,18,20134,всесезонная,женский,молодой
93506-3,круглая,металл,белый,Prada,оптика,130,54,16,12758,всесезонная,мужской,молодой
93506-4,круглая,пластик,белый,Tom Ford,оптика,135,48,18,21966,всесезонная,унисекс,молодой
93508-4,овальная,пластик,белый,Ray-Ban,оптика,130,50,16,8790,всесезонная,женский,средний
93509-2,круглая,металл,золотой,Prada,солнцезащитные,135,54,19,8888,летняя,женский,молодой
93509-4,прямоугольная,комбинированный,синий,Polaroid,солнцезащитные,140,46,20,18556,летняя,унисекс,молодой
93510-4,прямоугольная,металл,серый,Lacoste,оптика,140,46,18,24070,всесезонная,женский,молодой
93511-1,овальная,комбинированный,серый,Oakley,солнцезащитные,135,48,20,11488,летняя,женский,пожилой
93512-1,круглая,пластик,белый,Ray-Ban,солнцезащитные,140,48,18,6866,летняя,мужской,средний
93513-2,овальная,комбинированный,белый,Polaroid,оптика,150,54,16,16708,всесезонная,мужской,молодой
93513-3,круглая,пластик,белый,Oakley,солнцезащитные,145,46,16,6658,летняя,женский,молодой
93513-4,овальная,титан,серый,Tom Ford,оптика,150,48,19,44864,всесезонная,унисекс,средний
93514-1,кошачий_глаз,металл,черный,Lacoste,солнцезащитные,140,46,14,3861,летняя,мужской,пожилой
93514-2,кошачий_глаз,пластик,белый,Oakley,солнцезащитные,150,46,19,18319,летняя,мужской,средний
93514-4,прямоугольная,пластик,синий,Tom Ford,оптика,140,54,19,9192,всесезонная,унисекс,средний
93516-3,квадратная,пластик,белый,Ray-Ban,оптика,135,48,15,20152,всесезонная,унисекс,средний
93516-4,круглая,металл,серебряный,Prada,солнцезащитные,135,48,19,14980,летняя,унисекс,молодой
93517-1,кошачий_глаз,металл,синий,Ray-Ban,оптика,145,48,20,20035,всесезонная,мужской,средний
93517-2,круглая,металл,серебряный,Polaroid,оптика,130,46,17,18641,всесезонная,женский,пожилой
93517-3,круглая,пластик,золотой,Lacoste,оптика,150,48,14,7188,всесезонная,унисекс,пожилой
93518-1,овальная,комбинированный,черный,Lacoste,оптика,135,52,14,5775,всесезонная,мужской,молодой
93518-2,квадратная,пластик,синий,Valentino,солнцезащитные,135,54,18,41282,летняя,унисекс,средний
93518-3,круглая,комбинированный,серый,Tom Ford,солнцезащитные,130,50,16,13088,летняя,женский,пожилой
93518-4,квадратная,металл,коричневый,Lacoste,оптика,145,52,19,14970,всесезонная,мужской,молодой
93526-4,прямоугольная,металл,серый,Lacoste,солнцезащитные,135,50,20,19674,летняя,женский,пожилой
93527-1,кошачий_глаз,комбинированный,серебряный,Lacoste,оптика,140,46,18,5303,всесезонная,женский,средний
93527-3,кошачий_глаз,пластик,серый,Lacoste,солнцезащитные,145,50,15,12588,летняя,женский,пожилой
93527-4,круглая,комбинированный,серебряный,Polaroid,оптика,150,52,14,15062,всесезонная,женский,молодой
93528-1,овальная,металл,коричневый,Lacoste,оптика,135,48,16,10038,всесезонная,мужской,средний
93528-3,квадратная,комбинированный,белый,Gucci,оптика,130,54,14,24486,всесезонная,унисекс,молодой
93530-4,кошачий_глаз,титан,белый,Lacoste,солнцезащитные,140,46,17,11711,летняя,мужской,средний
93531-2,прямоугольная,пластик,серый,Ray-Ban,оптика,145,52,16,14768,всесезонная,унисекс,пожилой
93531-4,овальная,металл,черный,Oakley,оптика,140,48,17,15991,всесезонная,унисекс,пожилой
93532-1,овальная,титан,черный,Prada,оптика,140,52,19,45234,всесезонная,мужской,средний
93532-3,кошачий_глаз,пластик,белый,Oakley,солнцезащитные,150,52,16,11779,летняя,унисекс,молодой
93533-1,кошачий_глаз,пластик,серебряный,Polaroid,солнцезащитные,135,50,15,19502,летняя,мужской,средний
93533-2,квадратная,металл,серый,Tom Ford,оптика,140,54,14,31718,всесезонная,женский,пожилой
93533-3,квадратная,комбинированный,серебряный,Tom Ford,оптика,135,50,15,26852,всесезонная,унисекс,пожилой
93533-4,квадратная,титан,золотой,Valentino,солнцезащитные,145,54,20,11472,летняя,унисекс,молодой
93601-1,кошачий_глаз,титан,черный,Tom Ford,солнцезащитные,140,52,14,7364,летняя,унисекс,молодой
93602-1,кошачий_глаз,металл,синий,Oakley,солнцезащитные,130,46,16,13683,летняя,унисекс,средний
93602-2,кошачий_глаз,комбинированный,серебряный,Polaroid,оптика,130,52,15,24325,всесезонная,унисекс,пожилой
93603-1,квадратная,титан,белый,Prada,солнцезащитные,150,50,16,16390,летняя,мужской,молодой
93603-2,прямоугольная,комбинированный,черный,Ray-Ban,солнцезащитные,150,52,20,22830,летняя,женский,средний
